content,clean_content
Great app! would like to see Thai & Tagalog offered.,great app would like see thai tagalog offered
it was very good for me,good
its very helpfull,helpfull
I can't to use microphone Is sad,cant use microphone sad
"Google ads are not closing, make imposible to continuing the lessons",google ads closing make imposible continuing lessons
really good for learning languages,really good learning languages
Practice makes perfect. Regular fun practice everyday helps me to learn this language. I find myself walking around the house speaking French to practice. I love this app,practice makes perfect regular fun practice everyday helps learn language find walking around house speaking french practice love app
great but keep the add heart option,great keep add heart option
"so ,good and helpful for learn a language",good helpful learn language
"very good, and encouraging 10/10",good encouraging
I think they make learning appetising and loving ,think make learning appetising loving
it's the best app to improve in linguistics generally,best app improve linguistics generally
This is a very great app Infact it's so good I never knew anything in Spanish but just in one day I got the app I have already the Spanish bases,great app infact good never knew anything spanish one day got app already spanish bases
the glitch on the website not fixed -cannot place words on the right place,glitch website fixed cannot place words right place
it's very good I am so happy if I do it always like practice always I will learn it very fast in speaking,good happy always like practice always learn fast speaking
thanks Duolingo ,thanks duolingo
"worst, I learned Russian and had a 300+ day streak, it didn't help at all and the russian kid I wanted to be friends with learned enough English, only think I learned in Russian was yes, welcome,Hello,no and that's it.",worst learned russian day streak didnt help russian kid wanted friends learned enough english think learned russian yes welcomehellono thats
easy to learn and doesn't cost much danke,easy learn doesnt cost much danke
very convincing,convincing
soo God this app it's amezing,soo god app amezing
It's too useful ,useful
"It's bad. Since AI, the sentences are weird (the car eats the mouse). A lot of wrong translations. Only north Vietnamese. And the worse, it doesn't explain any grammar, so you have to figure that out yourself. That cost so much time and you make so many errors which you don't understand that it'll take 10 times longer to learn the language.  Only good to 'improve' your vocabulary with the force to use it daily. Use a good course book!!!",bad since ai sentences weird car eats mouse lot wrong translations north vietnamese worse doesnt explain grammar figure cost much time make many errors dont understand itll take times longer learn language good improve vocabulary force use daily use good course book
super cool.. have nothing to complain.. u can improve ur language skill from the begging if u know basics,super cool nothing complain u improve ur language skill begging u know basics
it's really fun and good but it's kinda does the same stuff,really fun good kinda stuff
"Too much AI. Used to be an okay app, but ever since they replaced their employees with AI its just slop. Not a great app, it's really buggy lately as well. Do not download.",much ai used okay app ever since replaced employees ai slop great app really buggy lately well download
Needs more vocabulary lessons,needs vocabulary lessons
An easy to use straight forward app that actually has the ability to improve your chosen language.,easy use straight forward app actually ability improve chosen language
"I am hard of hearing...a hearing loss. I wear 2 hearing aids. There is NO accessible way to use this app. I struggle to understand what Jr & Zari are saying. Zari's voice is so high pitched & fast it doesn't register. Even when the turtle option is available I can't understand her. I don't have Super Duolingo anymore, I use the hearts. I basically lose hearts because I can't hear. Really?!!",hard hearinga hearing loss wear hearing aids accessible way use app struggle understand jr zari saying zaris voice high pitched fast doesnt register even turtle option available cant understand dont super duolingo anymore use hearts basically lose hearts cant hear really
"In a week, I've managed to memorize over a dozen words in my free time.",week ive managed memorize dozen words free time
It's a fun way to learn a new language...,fun way learn new language
"The best way to learn another language. Fun, challenging, and entertaining.",best way learn another language fun challenging entertaining
great app for language learning ,great app language learning
Very good app,good app
I love this content I love learning German,love content love learning german
Excellent opportunity to learn Arabic or any language one wants..,excellent opportunity learn arabic language one wants
Good app but it would be amazing if it had the old Norse language and the other game of thrones language and the language from lord of the rings and hobbit series this app would be better if it had viking language and the languages from the lord of the rings and the hobbit language and the other game of thrones languages,good app would amazing old norse language game thrones language language lord rings hobbit series app would better viking language languages lord rings hobbit language game thrones languages
"DO NOT sign up for super Duolingo for the free trial. They will shove add after add to get you to sign up saying they will remind you in 2 days to cancel. THEY DO NOT REMIND YOU, NO EMAIL, NO NOTIFICATION. You will be charged and you can't get your money back. Also they added this AI audio part. The conversation makes no sense, the characters voices don't match the picture and overall poor quality. They took 95 bucks from me and probably won't use it to better the app.",sign super duolingo free trial shove add add get sign saying remind days cancel remind email notification charged cant get money back also added ai audio part conversation makes sense characters voices dont match picture overall poor quality took bucks probably wont use better app
Start's slow and steady.,starts slow steady
really really good helping me with school and on holiday 5 stars recommend,really really good helping school holiday stars recommend
The best introductory language app on the market!,best introductory language app market
it actually helps you learn different languages and it is easy,actually helps learn different languages easy
"Best? App in the universe i. Learn so much,",best app universe learn much
it is working and it is accurate,working accurate
Duolingo is so cute and its making me learn Japanese slowly.,duolingo cute making learn japanese slowly
If you don't learn the language you needed from maybe you don't have data The app is good thank you doulingo producers now i am a master in French,dont learn language needed maybe dont data app good thank doulingo producers master french
Been at it for two days and have learned more in that time than I did in two days of Spanish class,two days learned time two days spanish class
It is a good app if you wanna learn new languages around the world. I promise you'll like it.,good app wanna learn new languages around world promise youll like
it's so helpful for me and now I can talk to my friend and you should try it!,helpful talk friend try
the experience deserves,experience deserves
Duolingo makes learning easy. I love the app,duolingo makes learning easy love app
Love this app,love app
I have really wanted to learn Chinese and I found this amazing app,really wanted learn chinese found amazing app
This is my dad's old phone and email. You won't let me continue unless I sign up as my dad. That sucks! Please let me continue as myself. My dad and I are visiting Vietnam next year and I want to learn their language. it's just wrong.,dads old phone email wont let continue unless sign dad sucks please let continue dad visiting vietnam next year want learn language wrong
Something is wrong when you try to speak a phrase. It doesnt allow enough time to say the phrase before it error out.,something wrong try speak phrase doesnt allow enough time say phrase error
"it's a great app for learning a new language , trust me when I say that I learned the half the German language in less than 6 month and that is a great thing because it helped me a lot learning a new language,and btw it got a smart idea by doing an everyday streak so u push urself to learn I love it ",great app learning new language trust say learned half german language less month great thing helped lot learning new languageand btw got smart idea everyday streak u push urself learn love
it is so amzing,amzing
"this is the best, fastest and easiest way to learn language.",best fastest easiest way learn language
"the higher day streak I get, the less chance I have to mess up which makes me less motivated to do my work. the streak freezes refill but I barely have enough so if I miss a day I'll go back to day 1 demotivating me. imo, if you are far ahead in how many days you've done it, you should have more streak freezes available as a reward",higher day streak get less chance mess makes less motivated work streak freezes refill barely enough miss day ill go back day demotivating imo far ahead many days youve done streak freezes available reward
I learn .german .French .music .maths but can learn more languages,learn german french music maths learn languages
I love it so far. I'm learning well,love far im learning well
Duolingo is an AI FIRST company. do not support this.,duolingo ai first company support
this app is very good for learning most language!! even you can learn math!! I think this app is better than other apps. thank you all.,app good learning language even learn math think app better apps thank
IT'S HELP ME A LOT .,help lot
is soo good for learning English,soo good learning english
Great app,great app
I really love this app,really love app
it's good,good
"Greek scoring completely broken - frustrating after huge effort 49,320 XP in Greek with most sections at Legendary status, more than halfway through the 61-unit course = score of only 17. Simple math: if I doubled my progress to complete the entire course with all Legendary, that's still only ~34 points maximum. Meanwhile other languages can reach 136+ points. Greek is severely undervalued despite being one of the hardest languages. Contacted support with detailed data - completely ignored.",greek scoring completely broken frustrating huge effort xp greek sections legendary status halfway unit course score simple math doubled progress complete entire course legendary thats still points maximum meanwhile languages reach points greek severely undervalued despite one hardest languages contacted support detailed data completely ignored
"perfect to learn languages. the hearts take FOREVER to regenerate, but that's the only thing. ads appear, but once every end of lesson which isn't too bad.",perfect learn languages hearts take forever regenerate thats thing ads appear every end lesson isnt bad
free and helpful!! I'm learning Chinese both in school and out and it's helped me in a lot of ways.,free helpful im learning chinese school helped lot ways
"Fun game, Im learning Korean and it's helped, I also tried learning Spanish and I can speak little sentences, awesome .",fun game im learning korean helped also tried learning spanish speak little sentences awesome
great. learn quicker paying :),great learn quicker paying
No confirmation-box when using in-game currency. Just wasted all my gems,confirmationbox using ingame currency wasted gems
it's amazing and fun so far. I hope it gets super amazing,amazing fun far hope gets super amazing
I love the app . I enjoy the lesson as well as the motivation. well done Duolingo.,love app enjoy lesson well motivation well done duolingo
Ever since they started using AI the app freezes a lot. it's super annoying,ever since started using ai app freezes lot super annoying
"Can you please stop changing the app logo?! I VEHEMENTLY hate the angry looking bird. I just want to set the logo to one thing and leave it that way, is that really so hard? Also, bring back real translators especially for the less globally spoken languages! Some of the courses really need better content!",please stop changing app logo vehemently hate angry looking bird want set logo one thing leave way really hard also bring back real translators especially less globally spoken languages courses really need better content
I am good learn english,good learn english
thank you Dulimgo,thank dulimgo
"This app is actually very useful for learning a language. I downloaded this app to speak with my Japanese friend, and so far it has not failed me. Would recommend!",app actually useful learning language downloaded app speak japanese friend far failed would recommend
thank you duolingo best app ever to learn,thank duolingo best app ever learn
very helpful for learning new languages,helpful learning new languages
thanks so much mucho gracias,thanks much mucho gracias
very excellent even though I don't have super duolingo one reason why it's annoying without super is because of the hearts,excellent even though dont super duolingo one reason annoying without super hearts
"Reminders and strikes are useful, but honestly I have 4 month strike and I can't count to 100 in Spanish. The creators need to develop some lessons content. For me, now, it became useless since I learned more with Busuu in 2 days. :/",reminders strikes useful honestly month strike cant count spanish creators need develop lessons content became useless since learned busuu days
It Teaches you many things and other topics so thats why I like it,teaches many things topics thats like
absolutely great,absolutely great
I would like more varied vocabulary.,would like varied vocabulary
"Everything works perfectly, but when completed the first 2 goals and it shows that your multiply time has increased, but does not show that I have earned the time. Example:I have finished the 2 top goals which adds 10 minutes to my current multiply XP points. It shows that my time increased from 4 minutes to 24 minutes. When I continue with my next exercise, it shows that I have only less that 4 minutes left. My 20 minutes just disappeared.",everything works perfectly completed first goals shows multiply time increased show earned time examplei finished top goals adds minutes current multiply xp points shows time increased minutes minutes continue next exercise shows less minutes left minutes disappeared
There are too many ads now. Literally one long and after each exercise,many ads literally one long exercise
Just waiting for chess now ,waiting chess
Great,great
"good to start off with, but goes too slow and doesn't explain grammar very well. Apparently it used to be better but since they've focused on AI it's gone down the drain. I'm getting new animations but how does that make language learning better?",good start goes slow doesnt explain grammar well apparently used better since theyve focused ai gone drain im getting new animations make language learning better
i think doulingo need to improve. there are more room to grow. so i think management should consider make it more fun & increase its capability.,think doulingo need improve room grow think management consider make fun increase capability
incredible ,incredible
"its amaizing, easy and fast in learning the only hindrance now is my purchase for premium for many study attempt not to kill the heat for learning since mistakes makes you to wait but its all fine",amaizing easy fast learning hindrance purchase premium many study attempt kill heat learning since mistakes makes wait fine
I love it I learned 6 new words in only 2 days!,love learned new words days
Great for learning new languages im getting better each lesson,great learning new languages im getting better lesson
I hate this app,hate app
good app you are doing,good app
it too repetitive make the learning broader,repetitive make learning broader
Please also include Persian language for Persian speaking users.,please also include persian language persian speaking users
it's literally the best app for learning languages and more like duo abc it's perfect,literally best app learning languages like duo abc perfect
It is very useful for learning a new language.,useful learning new language
it's one of the best learning games of all and great for kids and adults to learn other languages and more ,one best learning games great kids adults learn languages
"Easy to use, and too helpful if you're bit confused with Google Translate. I wish there's not too many ads as I have to skip and skip most of the time. Other than that, it's a good app, useful, you can add other friends, and it's not too difficult to use!",easy use helpful youre bit confused google translate wish theres many ads skip skip time good app useful add friends difficult use
it is very useful application,useful application
So fun and easy to learn!,fun easy learn
best thing ever,best thing ever
It's my favorite game,favorite game
teaches words. not real knowledge,teaches words real knowledge
4.5 I wish that after you finished a stage you would earn two days of Duolingo max you get people to work more plus it helps us learn. other than that great job guys!,wish finished stage would earn two days duolingo max get people work plus helps us learn great job guys
very interesting,interesting
Am learning alot so it fantastic. since I play football I will travel do different countries but right now spanish is wat I am doing,learning alot fantastic since play football travel different countries right spanish wat
"this is a game changer , instead of having to pay for an actual tutor we have this cheap one where we have to pay no money at all or maybe $5 a month instead of an actual tutor charging $30 a month for 1 language here u get every language even for free ... stroungle recommend it and it is 100% kid friendly and understandable . No complaints from me",game changer instead pay actual tutor cheap one pay money maybe month instead actual tutor charging month language u get every language even free stroungle recommend kid friendly understandable complaints
"This app had me hooked at one point. It is like any other MMO or progress Game project. It app places a lot of ads as the game obstacles. Then it leads you for months thinking you have the ending on the verbs right, to change it all up. And, do nothing to explain the wrong path they led you on. Save yourself w/$$ they say, knowing the ads are time consuming. Also the voice recognition is off. At this stage I think this app has outlived it's usefulness. I'm out, better off going to a library.",app hooked one point like mmo progress game project app places lot ads game obstacles leads months thinking ending verbs right change nothing explain wrong path led save w say knowing ads time consuming also voice recognition stage think app outlived usefulness im better going library
helps me learn my French better,helps learn french better
"love it, mizu, to gohan kudasai means water and rice, please only 2 days in and I've memorized it!",love mizu gohan kudasai means water rice please days ive memorized
Minro bug fixed. App now working perfectly. A fun app for lrarning languages. Highly recommended.,minro bug fixed app working perfectly fun app lrarning languages highly recommended
Its very helpful!,helpful
"Decent app for learning words, phrases, and pronunciation even though some things are outdated or not really used in certain situations. Still a great learning app. I'm totally not being forced to write a decent review or anything (heh).",decent app learning words phrases pronunciation even though things outdated really used certain situations still great learning app im totally forced write decent review anything heh
they are helping me learn Spanish! ‍,helping learn spanish
Amazing just go for it without wasting a minute,amazing go without wasting minute
this platform is best,platform best
nice learning app but please i suggest the voice should be more real for good understanding in the words pronunciation,nice learning app please suggest voice real good understanding words pronunciation
"How to take the fun out of learning? Penalize the learner for making mistakes. On that front, Duolingo is doing an excellent job. Teaching languages, on the other hand, not so much. Was much better three years ago, when we still had tips and the forum.",take fun learning penalize learner making mistakes front duolingo excellent job teaching languages hand much much better three years ago still tips forum
it's great application for uses ,great application uses
Doulingo is so good and fun to learn with but the reason I gave it four stars is because one day he called me babe  I was so discussed and sick of this app and I didn't do my lesson for a long time...,doulingo good fun learn reason gave four stars one day called babe discussed sick app didnt lesson long time
"The Finnish course is not great, very short and basic. I can no longer practice to earn hearts. also please fix the bug in the interface where i can't input more than 1 word from the word box and therefore will lose a heart because of that",finnish course great short basic longer practice earn hearts also please fix bug interface cant input word word box therefore lose heart
I LIKE HOW THE WAY THAT THIS APP USES LEASONS TO TEACH OTHER LANGUEGES OF YOUR CHOICE + IT GETS QUITE HARD BUT AFTER SOME TIME YOU'LL BE ABLE TO DO IT!,like way app uses leasons teach langueges choice gets quite hard time youll able
"Trying to refresh my German. The app should focus more on Grammar. No point practicing vocabulary without the corresponding articles. Also can't stand the non-sensical sentences anymore. like ""my neighbors' lion ist kind but it can't sleep"" or whatever. I am abandonding my 400+ days streak in search for a better alternative",trying refresh german app focus grammar point practicing vocabulary without corresponding articles also cant stand nonsensical sentences anymore like neighbors lion ist kind cant sleep whatever abandonding days streak search better alternative
I hope the ads don't exist anymore ‍,hope ads dont exist anymore
the women and the girl look the same,women girl look
it's a very good learning place for a beginner or intermediate level learners,good learning place beginner intermediate level learners
"I have used Duolingo for years and my experience has mostly been positive (at least as a super duo subscriber.) More recently, I have found myself upset with the over the top gamification-UX. For example, I really appreciate that I can turn off animations inside the app, but the pushy (and intrusive) app icons - that are meant to reflect game status - makes me upset. Please give us more options to turn off UX features that are ""loud and intrusive.""",used duolingo years experience mostly positive least super duo subscriber recently found upset top gamificationux example really appreciate turn animations inside app pushy intrusive app icons meant reflect game status makes upset please give us options turn ux features loud intrusive
Duolingo is really great,duolingo really great
I know maths better with this application,know maths better application
not pleased Duolingo had replaced people with AI... at all,pleased duolingo replaced people ai
This App Is Very Good For Learning,app good learning
it's really good,really good
literally very much frustrating when you lose all your hearts either you have to forcefully watch ads or buy the subscription,literally much frustrating lose hearts either forcefully watch ads buy subscription
"brilliant app,I really enjoy learning through Duolingo",brilliant appi really enjoy learning duolingo
I LOVED this app...untill they went with AI. My family was competeing with eachother untill we found out. we all got rid of it,loved appuntill went ai family competeing eachother untill found got rid
don't need an app that replaces humans with inaccurate AI.,dont need app replaces humans inaccurate ai
"GREAT! It doesn't just have languages, but it also has music and math! ( ´∀ )b",great doesnt languages also music math b
I have learned so much in a short space of time the all is really informative.,learned much short space time really informative
I think it is a good way to learn languages so keep up the good work,think good way learn languages keep good work
Best app for learning Many languages ,best app learning many languages
duo is my friend ,duo friend
Temidayo Clement the best language class,temidayo clement best language class
this app is insane omg ,app insane omg
"A fantastic starting point! The owl WILL keep you accountable, and the buckshot of formats is a great, rounded way to approach language learning through exposure, but the grammar for some languages can be imperfect. Be warned, this is mostly a ""show"", not ""tell"" app. 98% of the time, though, it's a good thing.",fantastic starting point owl keep accountable buckshot formats great rounded way approach language learning exposure grammar languages imperfect warned mostly show tell app time though good thing
i like Duolingo so much and i give you a  for Duolingo,like duolingo much give duolingo
Educative ,educative
the best,best
very easy to use ,easy use
this is wonderful app,wonderful app
it's very good teaching app,good teaching app
"Duolingo is the only app I know that gets worse from version to version. Once you've somehow come to terms with the peculiarities of one version, the next one comes along, which is even worse. Congratulations, the AI version is the absolute low point, you can't get any worse. Absolutely incomprehensible, incorrectly rattled sentences. I will definitely not be renewing my subscription. Generate your revenue and profits with AI.",duolingo app know gets worse version version youve somehow come terms peculiarities one version next one comes along even worse congratulations ai version absolute low point cant get worse absolutely incomprehensible incorrectly rattled sentences definitely renewing subscription generate revenue profits ai
"always good for learning english, but I really don't like for the character in this story, there is a gay !!!",always good learning english really dont like character story gay
this app is soo good I'm so glad I found it ,app soo good im glad found
it's a very good app for lerners,good app lerners
"Pumped full of AI slop. They would rather pay their contactors (not employees) pennies on the dollar and leverage garbage tools. CEOs, get it together. Shoving AI in everything and forcing more ads will not incentivise the masses in the way your shareholders believe it will. Babbel is awesome though, much better pricing and accessibility. bye bye goofy owl, keep focusing on your tiktoks though!",pumped full ai slop would rather pay contactors employees pennies dollar leverage garbage tools ceos get together shoving ai everything forcing ads incentivise masses way shareholders believe babbel awesome though much better pricing accessibility bye bye goofy owl keep focusing tiktoks though
it helps me alot with learning Japanese and now I now the full language .,helps alot learning japanese full language
"fantastic language, and the music course is amazing",fantastic language music course amazing
I've just started and I'm absolutely loving it,ive started im absolutely loving
this app is very useful to me,app useful
good apps for learn english.try this app,good apps learn englishtry app
just like a play game but great app for learning language.,like play game great app learning language
The best app for learning any language,best app learning language
fun and easy to learn,fun easy learn
the first impressive language learning app I have ever seen . perfect choice for all . lot's of love Dou family,first impressive language learning app ever seen perfect choice lots love dou family
I love the app .,love app
so easy and fun also really cool,easy fun also really cool
this is amazing am learning very fast,amazing learning fast
"thank you duolingo It feels great. While studying, one learns and understands in a very good way",thank duolingo feels great studying one learns understands good way
"Honestly, it's really sweet and fun. I hope they develop it more.",honestly really sweet fun hope develop
it's very useful for all languages,useful languages
"they are desperate for you to pay their monthly subscription, throws a ton of malicious ads and reminders to sub. Duolingo is NOT worth the money. it's a somewhat ok and entertaining way to know a bit of a language but the money they want should go towards actual lessons or proper online educational tools. Duolingo is horrible for properly learning a language.",desperate pay monthly subscription throws ton malicious ads reminders sub duolingo worth money somewhat ok entertaining way know bit language money want go towards actual lessons proper online educational tools duolingo horrible properly learning language
this is the great journey with Duolingo ,great journey duolingo
"I don't think any language app will ever beat this one. It is very straightforward, engaging and easy to follow.",dont think language app ever beat one straightforward engaging easy follow
It's a great site that helps you to learn more languages and meet new people. I recommend Duolingo to anyone wanting to learn a new language!,great site helps learn languages meet new people recommend duolingo anyone wanting learn new language
It improved my english ,improved english
it is helpfull,helpfull
it's learning me japanese with great fun. It's good for beginners to learn language it has new subject maths and music if you want to learn language along with joy download this now ,learning japanese great fun good beginners learn language new subject maths music want learn language along joy download
Good app you can learn a lot from it,good app learn lot
love u can learn multiple languages at the same time music an math for fun,love u learn multiple languages time music math fun
amazing wow marvelous stunner,amazing wow marvelous stunner
I love it duolingo aap bohot accha hai me bohot asani se english sikh rahi hu my favourite aap ‍ thank you so much ,love duolingo aap bohot accha hai bohot asani se english sikh rahi hu favourite aap thank much
Great gamified learning but there is a glitch which keeps happening every so often,great gamified learning glitch keeps happening every often
it's helps with my Korean ,helps korean
It's silly  but very educational,silly educational
"the application is good but, the application icons change all the time, it's unbearable, because it removes me the shortcut every time !!!!",application good application icons change time unbearable removes shortcut every time
it's very perfect  I like it,perfect like
NICE. BRO MUJHE THO LAGA AAJ KAAM KE WAJAH SE ONLINE NHI AA PAUNGA,nice bro mujhe tho laga aaj kaam ke wajah se online nhi aa paunga
very good and easy learning app,good easy learning app
"Yeah, its really good.",yeah really good
"everyone must try Duolingo to better your English and learning many things like speaking , writing skill.",everyone must try duolingo better english learning many things like speaking writing skill
learnt all finnish words in one second thanks to duolingo lol [the 1 second is a joke guys chill],learnt finnish words one second thanks duolingo lol second joke guys chill
Amazing helpful app due to this I can speak Spanish more than before but one thing I will like to recommend is that when you click the button that says I can't speak before you know it it shows a wrong answer while you haven't even given any answer which is frustrating as the fact you lose a heart for that so please work on that because I love this app so much,amazing helpful app due speak spanish one thing like recommend click button says cant speak know shows wrong answer havent even given answer frustrating fact lose heart please work love app much
this is very exciting program,exciting program
this is my best english teacher,best english teacher
"A very nice app, you can learn English very well with this app.",nice app learn english well app
addictive way to start learning a language,addictive way start learning language
"after paying for premium for 2 years they deleted my account without any notice. I've tried multiple times to email the company with no response, and am ""not eligible for a refund"" this feels like theft and is absolutely ridiculous.",paying premium years deleted account without notice ive tried multiple times email company response eligible refund feels like theft absolutely ridiculous
"I have a learning daily, thank Thank you for your help.",learning daily thank thank help
Dont like leaderboards. Exercises repeat with too much frequency. Edit: units just teach like 1 or 2 things. I often can skip 80% of the unit because it's all repeat repeat repeat. It's like the app thinks you are dumb or something. Translation using the word bank doesn't teach you at all because you can guess the whole sentence. After a 600+ days streak I can tell you that you will learn much better Japanese with Renshuu. Now it also pesters you to update to Max.,dont like leaderboards exercises repeat much frequency edit units teach like things often skip unit repeat repeat repeat like app thinks dumb something translation using word bank doesnt teach guess whole sentence days streak tell learn much better japanese renshuu also pesters update max
it is nice and good like it,nice good like
it's amazing that learning French is actually enjoyable for once,amazing learning french actually enjoyable
its blessing app for us and great opportunity for everyone to learn any language whatever you want soo my experience has very good with this app thanks to duolingo inventor special,blessing app us great opportunity everyone learn language whatever want soo experience good app thanks duolingo inventor special
"used to be a language app, now it's AI slop",used language app ai slop
it's fantastic ,fantastic
"the app is fun but since there is no way to actually have a conversation with someone for practice, I don't feel like I am really learning anything.",app fun since way actually conversation someone practice dont feel like really learning anything
I think that you have to show some problems of real life in picture,think show problems real life picture
"Sadly, I have slashed the number of stars to this app. What was once a 5 star app is now a relic of the ""Good old days"". The fact that I am here to bear witness the downfall of Duolingo is heartbreaking. What started as a free educational language learning tool, now it pains me to say that very education is behind paywalls. You dont know where you made mistakes and how to correct them without paying the app. Duolingo isn't teaching, its' just there to make you feel like you learnt something.",sadly slashed number stars app star app relic good old days fact bear witness downfall duolingo heartbreaking started free educational language learning tool pains say education behind paywalls dont know made mistakes correct without paying app duolingo isnt teaching make feel like learnt something
"Early days, but Spanish course is easy to follow with a good level of revisiting subjects done, and adding new sections.",early days spanish course easy follow good level revisiting subjects done adding new sections
i really loved this app I has been started this app from 19 days and I have a streaks of 19 i really enjoyed and I can see improvement in my self,really loved app started app days streaks really enjoyed see improvement self
It's a very nice place to learn more languages . It's like a game learning app and it's very fun I just loved it,nice place learn languages like game learning app fun loved
it is use full learning app,use full learning app
it is intended only for kids 5-7,intended kids
Brilliant app,brilliant app
Disgusting..... Greedy.... Behavior.... Got Charged even after Canceling the Subscription.....,disgusting greedy behavior got charged even canceling subscription
good for learning,good learning
this is very good  thanks ,good thanks
very interesting ap,interesting ap
this is very good yes,good yes
I love duolingo it helps a lot to get to learn more Spanish 5 stars for this app,love duolingo helps lot get learn spanish stars app
The best languages learning app,best languages learning app
"Its a nice app to practice, i would be happier if the added games to extend concentration . you should try it too!",nice app practice would happier added games extend concentration try
I SERIOUS i hate it,serious hate
It provides a really fun way to learn language! and can help children avoid playing some stupid purposeless video games. Even as an adult I enjoy it very much!,provides really fun way learn language help children avoid playing stupid purposeless video games even adult enjoy much
good platform ,good platform
it's a great app,great app
he does not kill you if you don't practice. Yeay! get to live a nother day :),kill dont practice yeay get live nother day
Nice English learning ,nice english learning
best tool for learning,best tool learning
Good App,good app
so much fun so many languages and keeps busy while on road trips and keeps you smart while on summer break.but you need internet.,much fun many languages keeps busy road trips keeps smart summer breakbut need internet
I am enjoying  and learning,enjoying learning
best learning app,best learning app
it's really amazing to learn different languages from duolingo,really amazing learn different languages duolingo
best learning app for me ,best learning app
thank you Duolingo,thank duolingo
its real great to use and thanks for Duolingo,real great use thanks duolingo
One of the Best Platform For Learning Language.,one best platform learning language
"okay but the words you really need to go over are not the Tea, cappuccino, milk, counties etc but the connectors - I'm, from, can I have, with, and etc",okay words really need go tea cappuccino milk counties etc connectors im etc
perfect app for learning,perfect app learning
A fun way to learn a new language!,fun way learn new language
Really helpful,really helpful
"It's very amazing, comfortable,and cute ",amazing comfortableand cute
Best Learning App ,best learning app
great languge learning app! the only problem is that... duo gets a bit creepy if u dont do your lesson in time....,great languge learning app problem duo gets bit creepy u dont lesson time
Duolingo is very useful app ,duolingo useful app
"""Pronunciation should be provided in English script, or in the language the individual selects.""",pronunciation provided english script language individual selects
not very much nice but it's time pass but you can learn something there,much nice time pass learn something
owesome,owesome
helpful app for learning any language,helpful app learning language
world best best speaking English app my favourite speaking English app this is a free subscription in 3 days this speak in very very easy I am a Indian going to America this is very sorry and fully and my full help,world best best speaking english app favourite speaking english app free subscription days speak easy indian going america sorry fully full help
it's a good practice app to learn any international language..but need to pararllely practice the writing of words and alphabets to remember permanently..only completing exercises is not enough,good practice app learn international languagebut need pararllely practice writing words alphabets remember permanentlyonly completing exercises enough
"A decent app, but they have an add to subscribe for a monthly fee after every single lesson, regularly having to press exit on two rodent screen to continue. I don't mind a request for subscription, but after every single lesson?",decent app add subscribe monthly fee every single lesson regularly press exit two rodent screen continue dont mind request subscription every single lesson
It is so good she learns that so fast duolingo is so so good and I recommend it,good learns fast duolingo good recommend
best app to learn any language  ,best app learn language
love it so much I am trying to learn German and it is giving me the right help and i learned it in 10 minutes it's highly recommended,love much trying learn german giving right help learned minutes highly recommended
great app for learning,great app learning
"perfect learn language app, especially with beautiful, easy and interactive ui.",perfect learn language app especially beautiful easy interactive ui
help me with school work and communication,help school work communication
Love it!,love
good practicing,good practicing
great app,great app
I love dis app is perfect for learn and study for class,love dis app perfect learn study class
I subscribed to duolingo super yearly plan worth 1379 rupees but after that I didn't like that so canceled it in 2 or 3 hours at the date of 13 july 2025 they said after the free trail ends they will give my money back but they didn't today is 20 july but no money,subscribed duolingo super yearly plan worth rupees didnt like canceled hours date july said free trail ends give money back didnt today july money
Great!,great
"ai first company, also barely learned anything when i had to use it for school",ai first company also barely learned anything use school
Tasbiha Jaber Tazzy best language app in the world ,tasbiha jaber tazzy best language app world
good for those who want to learn english. I learnt english through it just in 2-3 month,good want learn english learnt english month
good improvements for me,good improvements
fantastic and beneficial for practice ,fantastic beneficial practice
It help me to improve my English,help improve english
best language learning point,best language learning point
BRILLIANT. SO encouraging... I love it . all u need to do is buy super. I am on a family plan and it is much better.,brilliant encouraging love u need buy super family plan much better
best of all,best
"love it, helped me learn french",love helped learn french
Ohh it's very nice app to use it for free because please don't hate me because my favourite country is china am d I love their culture yes and always I most love the Indian culture so I love to watch c drama but most of the best c drama are not dubbed so I thought that wanna I learn Chinese I knew it it is most tough language but it's my hobby so my strike day was 24 so I am learning on Duolingo it's so nice ,ohh nice app use free please dont hate favourite country china love culture yes always love indian culture love watch c drama best c drama dubbed thought wanna learn chinese knew tough language hobby strike day learning duolingo nice
okay this app is really amazing  I've improved beaucoup in my french speaking Skill Thank you so much for this amazing app,okay app really amazing ive improved beaucoup french speaking skill thank much amazing app
I think that Duolingo needs to not repeat classes 2 I think it can get less ads and the things what about those who don't french they will lose all their hearts the time they will be waiting they can use it to learn. so even if you are are going to continue the hearts thing waiting should be quicker thank you,think duolingo needs repeat classes think get less ads things dont french lose hearts time waiting use learn even going continue hearts thing waiting quicker thank
very good app,good app
Request This app didn't show me the option of international English language please gave me the option...,request app didnt show option international english language please gave option
so very useful app,useful app
it's very helpful,helpful
nice is that app for student,nice app student
Great and fun way to learn a language.,great fun way learn language
great fun app for learning easy to use,great fun app learning easy use
so nice this duolingo. this app help me for learn English.. but i do not prepare for Avatar please help me to prepare Avatar. no option for avatar,nice duolingo app help learn english prepare avatar please help prepare avatar option avatar
helps with my language beautifully,helps language beautifully
they really care about me,really care
bland basic and beginner friendly but if you want to really learn a language you have to add other things not just duo.,bland basic beginner friendly want really learn language add things duo
very good excellent results,good excellent results
