content,score,at
you fell off,1,2025-07-21 03:11:08
excellent,5,2025-07-21 03:09:23
"In a week, I've managed to memorize over a dozen words in my free time.",5,2025-07-21 03:07:04
amazing app,4,2025-07-21 03:03:53
جميل,5,2025-07-21 03:02:18
It's a fun way to learn a new language...,5,2025-07-21 02:56:17
Muy divertido.,5,2025-07-21 02:52:08
"The best way to learn another language. Fun, challenging, and entertaining.",5,2025-07-21 02:50:01
great app for language learning 👌,5,2025-07-21 02:43:43
Very good app,5,2025-07-21 02:42:52
cool. no Wi-Fi needed,5,2025-07-21 02:41:31
I love this content I love learning German,5,2025-07-21 02:40:42
Excellent opportunity to learn Arabic or any language one wants..,5,2025-07-21 02:33:35
Good app but it would be amazing if it had the old Norse language and the other game of thrones language and the language from lord of the rings and hobbit series this app would be better if it had viking language and the languages from the lord of the rings and the hobbit language and the other game of thrones languages,3,2025-07-21 02:32:30
"DO NOT sign up for super Duolingo for the free trial. They will shove add after add to get you to sign up saying they will remind you in 2 days to cancel. THEY DO NOT REMIND YOU, NO EMAIL, NO NOTIFICATION. You will be charged and you can't get your money back. Also they added this AI audio part. The conversation makes no sense, the characters voices don't match the picture and overall poor quality. They took 95 bucks from me and probably won't use it to better the app.",1,2025-07-21 02:32:10
Start's slow and steady.,4,2025-07-21 02:31:45
really really good helping me with school and on holiday 5 stars recommend,5,2025-07-21 02:30:24
The best introductory language app on the market!,5,2025-07-21 02:28:01
good,5,2025-07-21 02:26:59
it actually helps you learn different languages and it is easy,4,2025-07-21 02:24:58
"Best? App in the universe i. Learn so much,🤣😂😚",5,2025-07-21 02:23:23
it is working and it is accurate,5,2025-07-21 02:23:12
Duolingo is so cute and its making me learn Japanese slowly.,5,2025-07-21 02:18:07
If you don't learn the language you needed from maybe you don't have data The app is good thank you doulingo producers now i am a master in French,5,2025-07-21 02:12:10
Ich liebe Duolingo. Man lernt und auch Spaß hat wenn er diese App benutz.,4,2025-07-21 02:10:13
Been at it for two days and have learned more in that time than I did in two days of Spanish class,5,2025-07-21 02:07:12
It is a good app if you wanna learn new languages around the world. I promise you'll like it.,4,2025-07-21 01:59:42
it's so helpful for me and now I can talk to my friend and you should try it!,5,2025-07-21 01:59:42
the experience deserves,5,2025-07-21 01:58:36
very nice Duolingo 🥰,5,2025-07-21 01:57:52
Duolingo makes learning easy. I love the app,5,2025-07-21 01:53:31
I like it too much,5,2025-07-21 01:52:14
Love this app,5,2025-07-21 01:48:24
I have really wanted to learn Chinese and I found this amazing app,5,2025-07-21 01:46:03
This is my dad's old phone and email. You won't let me continue unless I sign up as my dad. That sucks! Please let me continue as myself. My dad and I are visiting Vietnam next year and I want to learn their language. it's just wrong.,1,2025-07-21 01:41:59
Something is wrong when you try to speak a phrase. It doesnt allow enough time to say the phrase before it error out.,4,2025-07-21 01:40:25
"it's a great app for learning a new language , trust me when I say that I learned the half the German language in less than 6 month and that is a great thing because it helped me a lot learning a new language,and btw it got a smart idea by doing an everyday streak so u push urself to learn I love it ❤️✨",5,2025-07-21 01:40:22
it is so amzing,5,2025-07-21 01:39:21
"this is the best, fastest and easiest way to learn language.",5,2025-07-21 01:37:59
my favourite app,5,2025-07-21 01:37:50
"the higher day streak I get, the less chance I have to mess up which makes me less motivated to do my work. the streak freezes refill but I barely have enough so if I miss a day I'll go back to day 1 demotivating me. imo, if you are far ahead in how many days you've done it, you should have more streak freezes available as a reward",3,2025-07-21 01:30:21
I learn .german .French .music .maths but can learn more languages,5,2025-07-21 01:27:57
I love it so far. I'm learning well,5,2025-07-21 01:26:33
Duolingo is an AI FIRST company. do not support this.,1,2025-07-21 01:23:31
this app is very good for learning most language!! even you can learn math!! I think this app is better than other apps. thank you all.,5,2025-07-21 01:22:19
IT'S HELP ME A LOT 💛.,5,2025-07-21 01:18:01
excellent app,5,2025-07-21 01:17:39
is soo good for learning English,5,2025-07-21 01:17:15
Great app,4,2025-07-21 01:15:39
I really love this app,4,2025-07-21 01:15:30
it's good,5,2025-07-21 01:14:45
"Greek scoring completely broken - frustrating after huge effort 49,320 XP in Greek with most sections at Legendary status, more than halfway through the 61-unit course = score of only 17. Simple math: if I doubled my progress to complete the entire course with all Legendary, that's still only ~34 points maximum. Meanwhile other languages can reach 136+ points. Greek is severely undervalued despite being one of the hardest languages. Contacted support with detailed data - completely ignored.",2,2025-07-21 01:14:41
sangat bagus,5,2025-07-21 01:09:14
"perfect to learn languages. the hearts take FOREVER to regenerate, but that's the only thing. ads appear, but once every end of lesson which isn't too bad.",5,2025-07-21 01:09:07
free and helpful!! I'm learning Chinese both in school and out and it's helped me in a lot of ways.,5,2025-07-21 01:08:47
very good 💯,5,2025-07-21 01:07:56
"Fun game, Im learning Korean and it's helped, I also tried learning Spanish and I can speak little sentences, awesome 👍🏼.",5,2025-07-21 01:03:38
great. learn quicker paying :),5,2025-07-21 01:02:58
No confirmation-box when using in-game currency. Just wasted all my gems,2,2025-07-21 01:00:34
it's amazing and fun so far. I hope it gets super amazing,5,2025-07-21 00:57:06
I love the app . I enjoy the lesson as well as the motivation. well done Duolingo.,5,2025-07-21 00:51:50
Ever since they started using AI the app freezes a lot. it's super annoying,2,2025-07-21 00:50:36
"Can you please stop changing the app logo?! I VEHEMENTLY hate the angry looking bird. I just want to set the logo to one thing and leave it that way, is that really so hard? Also, bring back real translators especially for the less globally spoken languages! Some of the courses really need better content!",1,2025-07-21 00:50:31
I am good learn english,5,2025-07-21 00:48:04
thank you Dulimgo,5,2025-07-21 00:43:49
good,3,2025-07-21 00:42:33
good,5,2025-07-21 00:40:49
"This app is actually very useful for learning a language. I downloaded this app to speak with my Japanese friend, and so far it has not failed me. Would recommend!😁",5,2025-07-21 00:39:57
thank you duolingo best app ever to learn,5,2025-07-21 00:39:40
very helpful for learning new languages,5,2025-07-21 00:39:33
better,5,2025-07-21 00:38:59
thanks so much mucho gracias,5,2025-07-21 00:35:58
very excellent even though I don't have super duolingo one reason why it's annoying without super is because of the hearts😀,5,2025-07-21 00:33:35
"Reminders and strikes are useful, but honestly I have 4 month strike and I can't count to 100 in Spanish. The creators need to develop some lessons content. For me, now, it became useless since I learned more with Busuu in 2 days. :/",3,2025-07-21 00:33:18
It Teaches you many things and other topics so thats why I like it,4,2025-07-21 00:31:59
I love duo!!!!,5,2025-07-21 00:31:04
absolutely great,5,2025-07-21 00:27:02
I would like more varied vocabulary.,4,2025-07-21 00:26:56
"Everything works perfectly, but when completed the first 2 goals and it shows that your multiply time has increased, but does not show that I have earned the time. Example:I have finished the 2 top goals which adds 10 minutes to my current multiply XP points. It shows that my time increased from 4 minutes to 24 minutes. When I continue with my next exercise, it shows that I have only less that 4 minutes left. My 20 minutes just disappeared.",2,2025-07-21 00:26:56
There are too many ads now. Literally one long and after each exercise,2,2025-07-21 00:22:25
Just waiting for chess now 🥳,5,2025-07-21 00:21:59
Great,5,2025-07-21 00:12:15
best aap,5,2025-07-21 00:11:49
"good to start off with, but goes too slow and doesn't explain grammar very well. Apparently it used to be better but since they've focused on AI it's gone down the drain. I'm getting new animations but how does that make language learning better?",2,2025-07-21 00:09:27
i think doulingo need to improve. there are more room to grow. so i think management should consider make it more fun & increase its capability.,3,2025-07-21 00:09:22
incredible 😍,5,2025-07-21 00:08:54
Amazing 😍,5,2025-07-21 00:08:49
"its amaizing, easy and fast in learning the only hindrance now is my purchase for premium for many study attempt not to kill the heat for learning since mistakes makes you to wait but its all fine",5,2025-07-21 00:07:28
I love it I learned 6 new words in only 2 days!🤩🤩🤩,5,2025-07-21 00:03:41
Great for learning new languages im getting better each lesson,5,2025-07-20 23:56:02
I hate this app,1,2025-07-20 23:54:36
good app you are doing,5,2025-07-20 23:53:59
it too repetitive make the learning broader,4,2025-07-20 23:53:09
Please also include Persian language for Persian speaking users.,3,2025-07-20 23:51:19
verygood,5,2025-07-20 23:50:39
it's literally the best app for learning languages and more like duo abc it's perfect,5,2025-07-20 23:48:16
It is very useful for learning a new language.,5,2025-07-20 23:47:32
it's one of the best learning games of all and great for kids and adults to learn other languages and more 👍❤️,5,2025-07-20 23:47:28
do you still use AI?,1,2025-07-20 23:46:53
"Easy to use, and too helpful if you're bit confused with Google Translate. I wish there's not too many ads as I have to skip and skip most of the time. Other than that, it's a good app, useful, you can add other friends, and it's not too difficult to use!",4,2025-07-20 23:46:53
"best until now in its category، I wish there is a Persian language, too. الأفضل في مجاله حتى الآن اتمنى أن تكون هناك دروس للغة الفارسية في هذا التطبيق",4,2025-07-20 23:40:19
divertido,5,2025-07-20 23:39:29
it is very useful application,5,2025-07-20 23:37:28
So fun and easy to learn!,5,2025-07-20 23:35:34
best thing ever,5,2025-07-20 23:32:26
It's my favorite game,5,2025-07-20 23:31:54
teaches words. not real knowledge,1,2025-07-20 23:31:02
4.5 I wish that after you finished a stage you would earn two days of Duolingo max you get people to work more plus it helps us learn. other than that great job guys!,4,2025-07-20 23:27:58
very interesting,5,2025-07-20 23:25:19
Am learning alot so it fantastic. since I play football I will travel do different countries but right now spanish is wat I am doing,4,2025-07-20 23:25:08
"this is a game changer , instead of having to pay for an actual tutor we have this cheap one where we have to pay no money at all or maybe $5 a month instead of an actual tutor charging $30 a month for 1 language here u get every language even for free ... stroungle recommend it and it is 100% kid friendly and understandable . No complaints from me",5,2025-07-20 23:24:25
"This app had me hooked at one point. It is like any other MMO or progress Game project. It app places a lot of ads as the game obstacles. Then it leads you for months thinking you have the ending on the verbs right, to change it all up. And, do nothing to explain the wrong path they led you on. Save yourself w/$$ they say, knowing the ads are time consuming. Also the voice recognition is off. At this stage I think this app has outlived it's usefulness. I'm out, better off going to a library.",3,2025-07-20 23:24:24
helps me learn my French better,5,2025-07-20 23:21:41
"love it, mizu, to gohan kudasai means water and rice, please only 2 days in and I've memorized it!",5,2025-07-20 23:19:34
love it so funn,5,2025-07-20 23:19:34
amazing,5,2025-07-20 23:19:26
👍,5,2025-07-20 23:17:46
nice 🙂,4,2025-07-20 23:15:07
Minro bug fixed. App now working perfectly. A fun app for lrarning languages. Highly recommended.,5,2025-07-20 23:15:02
Its very helpful!,4,2025-07-20 23:11:12
Ai...,1,2025-07-20 23:06:15
"Decent app for learning words, phrases, and pronunciation even though some things are outdated or not really used in certain situations. Still a great learning app. I'm totally not being forced to write a decent review or anything (heh).",4,2025-07-20 23:06:04
nice...,5,2025-07-20 23:05:37
they are helping me learn Spanish! 🥰💘💝💖💗💓💞💕❣️❤️❤️‍🔥,5,2025-07-20 23:00:51
Amazing just go for it without wasting a minute,4,2025-07-20 22:58:18
this platform is best👌,5,2025-07-20 22:57:52
Very good,5,2025-07-20 22:57:49
nice learning app but please i suggest the voice should be more real for good understanding in the words pronunciation,5,2025-07-20 22:57:04
"How to take the fun out of learning? Penalize the learner for making mistakes. On that front, Duolingo is doing an excellent job. Teaching languages, on the other hand, not so much. Was much better three years ago, when we still had tips and the forum.",1,2025-07-20 22:56:38
it's great application for uses 🧐🧐🧐,5,2025-07-20 22:56:34
Doulingo is so good and fun 😊to learn with but the reason I gave it four stars is because one day he called me babe 😡 I was so discussed and sick of this app and I didn't do my lesson for a long time...,4,2025-07-20 22:55:09
"شكرا،،,😍😍😍😍😍😍😍🤩🤩🤩🤩🤩🤩😭😭😭😭🥰🥰🥰⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟⭐⭐⭐",5,2025-07-20 22:55:00
"The Finnish course is not great, very short and basic. I can no longer practice to earn hearts. also please fix the bug in the interface where i can't input more than 1 word from the word box and therefore will lose a heart because of that",1,2025-07-20 22:54:00
I LIKE HOW THE WAY THAT THIS APP USES LEASONS TO TEACH OTHER LANGUEGES OF YOUR CHOICE + IT GETS QUITE HARD BUT AFTER SOME TIME YOU'LL BE ABLE TO DO IT!,5,2025-07-20 22:51:32
"Trying to refresh my German. The app should focus more on Grammar. No point practicing vocabulary without the corresponding articles. Also can't stand the non-sensical sentences anymore. like ""my neighbors' lion ist kind but it can't sleep"" or whatever. I am abandonding my 400+ days streak in search for a better alternative",3,2025-07-20 22:51:20
I hope the ads don't exist anymore 😶‍🌫️,2,2025-07-20 22:47:48
the women and the girl look the same,1,2025-07-20 22:47:39
it's a very good learning place for a beginner or intermediate level learners,5,2025-07-20 22:45:34
"I have used Duolingo for years and my experience has mostly been positive (at least as a super duo subscriber.) More recently, I have found myself upset with the over the top gamification-UX. For example, I really appreciate that I can turn off animations inside the app, but the pushy (and intrusive) app icons - that are meant to reflect game status - makes me upset. Please give us more options to turn off UX features that are ""loud and intrusive.""",3,2025-07-20 22:44:48
Duolingo is really great,5,2025-07-20 22:44:18
I know maths better with this application,5,2025-07-20 22:41:05
not pleased Duolingo had replaced people with AI... at all,3,2025-07-20 22:39:53
This App Is Very Good For Learning,5,2025-07-20 22:34:06
it's really good,5,2025-07-20 22:32:13
literally very much frustrating when you lose all your hearts either you have to forcefully watch ads or buy the subscription,1,2025-07-20 22:29:38
nice,5,2025-07-20 22:28:10
"brilliant app,I really enjoy learning through Duolingo",5,2025-07-20 22:24:28
I LOVED this app...untill they went with AI. My family was competeing with eachother untill we found out. we all got rid of it,1,2025-07-20 22:23:09
full star 😁,5,2025-07-20 22:22:58
don't need an app that replaces humans with inaccurate AI.,1,2025-07-20 22:18:35
"GREAT! It doesn't just have languages, but it also has music and math! ( ´∀｀ )b",5,2025-07-20 22:16:58
I have learned so much in a short space of time the all is really informative.,5,2025-07-20 22:15:44
puedo aprender a mi paso. es intetesantw.,5,2025-07-20 22:13:32
Happy s,5,2025-07-20 22:11:22
I think it is a good way to learn languages so keep up the good work,5,2025-07-20 22:11:00
Best app for learning Many languages 🙏🏻,5,2025-07-20 22:09:08
duo is my friend 😄,4,2025-07-20 22:08:02
Temidayo Clement the best language class,5,2025-07-20 22:07:27
this app is insane omg 😲☆☆☆☆☆,5,2025-07-20 22:03:41
"A fantastic starting point! The owl WILL keep you accountable, and the buckshot of formats is a great, rounded way to approach language learning through exposure, but the grammar for some languages can be imperfect. Be warned, this is mostly a ""show"", not ""tell"" app. 98% of the time, though, it's a good thing.",4,2025-07-20 22:02:06
Super apps,5,2025-07-20 22:01:53
i like Duolingo so much and i give you a 👍🏼 for Duolingo,5,2025-07-20 22:01:43
Educative 👍✅😆,5,2025-07-20 22:01:38
the best,4,2025-07-20 22:01:20
very easy to use 👌,5,2025-07-20 22:01:12
this is wonderful app,5,2025-07-20 21:59:49
it's very good teaching app,5,2025-07-20 21:59:36
best,5,2025-07-20 21:58:55
very good,5,2025-07-20 21:56:52
"Duolingo is the only app I know that gets worse from version to version. Once you've somehow come to terms with the peculiarities of one version, the next one comes along, which is even worse. Congratulations, the AI version is the absolute low point, you can't get any worse. Absolutely incomprehensible, incorrectly rattled sentences. I will definitely not be renewing my subscription. Generate your revenue and profits with AI.",1,2025-07-20 21:56:32
"always good for learning english, but I really don't like for the character in this story, there is a gay !!!",2,2025-07-20 21:54:59
this app is soo good I'm so glad I found it 😊,5,2025-07-20 21:54:45
it's a very good app for lerners,5,2025-07-20 21:53:35
V V good.app,5,2025-07-20 21:53:15
"Pumped full of AI slop. They would rather pay their contactors (not employees) pennies on the dollar and leverage garbage tools. CEOs, get it together. Shoving AI in everything and forcing more ads will not incentivise the masses in the way your shareholders believe it will. Babbel is awesome though, much better pricing and accessibility. bye bye goofy owl, keep focusing on your tiktoks though!",1,2025-07-20 21:53:07
it helps me alot with learning Japanese and now I now the full language .,5,2025-07-20 21:52:25
"fantastic language, and the music course is amazing",5,2025-07-20 21:51:34
great,5,2025-07-20 21:50:31
I've just started and I'm absolutely loving it,5,2025-07-20 21:49:54
ok,5,2025-07-20 21:45:07
ye bahut accha app h,5,2025-07-20 21:44:51
this app is very useful to me,5,2025-07-20 21:43:25
good apps for learn english.try this app,5,2025-07-20 21:41:11
Duolingo 👍,5,2025-07-20 21:37:35
just like a play game but great app for learning language.,5,2025-07-20 21:37:31
The best app for learning any language,5,2025-07-20 21:36:34
fun and easy to learn,5,2025-07-20 21:36:17
great,5,2025-07-20 21:34:00
the first impressive language learning app I have ever seen . perfect choice for all . lot's of love Dou family,5,2025-07-20 21:33:21
I love the app .,5,2025-07-20 21:30:39
so easy and fun also really cool,5,2025-07-20 21:30:16
good,5,2025-07-20 21:30:05
this is amazing am learning very fast,3,2025-07-20 21:29:00
"thank you duolingo It feels great. While studying, one learns and understands in a very good way",5,2025-07-20 21:28:42
"Honestly, it's really sweet and fun. I hope they develop it more.",5,2025-07-20 21:27:50
good,5,2025-07-20 21:24:33
it's very useful for all languages,5,2025-07-20 21:23:20
good 😊,5,2025-07-20 21:23:04
"they are desperate for you to pay their monthly subscription, throws a ton of malicious ads and reminders to sub. Duolingo is NOT worth the money. it's a somewhat ok and entertaining way to know a bit of a language but the money they want should go towards actual lessons or proper online educational tools. Duolingo is horrible for properly learning a language.",1,2025-07-20 21:20:52
this is the great journey with Duolingo ❤️,4,2025-07-20 21:20:35
"I don't think any language app will ever beat this one. It is very straightforward, engaging and easy to follow.",5,2025-07-20 21:19:36
It's a great site that helps you to learn more languages and meet new people. I recommend Duolingo to anyone wanting to learn a new language!,5,2025-07-20 21:19:06
It improved my english 👍🤭❤️,5,2025-07-20 21:17:16
it is helpfull,5,2025-07-20 21:15:43
🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼it's learning me japanese with great fun. It's good for beginners to learn language it has new subject maths and music if you want to learn language along with joy download this now 🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼,5,2025-07-20 21:14:03
Good app you can learn a lot from it,5,2025-07-20 21:13:23
love u can learn multiple languages at the same time music an math for fun,5,2025-07-20 21:13:06
amazing wow marvelous stunner,5,2025-07-20 21:11:02
I love it duolingo aap bohot accha hai me bohot asani se english sikh rahi hu my favourite aap ❤️😍❤️‍🔥🥳 thank you so much 🙏🏻🙏🏻😌,5,2025-07-20 21:10:29
best app,4,2025-07-20 21:10:08
Great gamified learning but there is a glitch which keeps happening every so often,3,2025-07-20 21:09:27
it's helps with my Korean 🇰🇷🇳🇦,5,2025-07-20 21:06:52
It's silly 😜 but very educational,4,2025-07-20 21:06:21
"the application is good but, the application icons change all the time, it's unbearable, because it removes me the shortcut every time !!!!",1,2025-07-20 21:06:11
it's very perfect 😍 I like it,4,2025-07-20 21:06:05
very nice.,5,2025-07-20 21:05:34
NICE. BRO MUJHE THO LAGA AAJ KAAM KE WAJAH SE ONLINE NHI AA PAUNGA,5,2025-07-20 21:05:14
very good and easy learning app,5,2025-07-20 21:03:09
great,5,2025-07-20 21:02:28
"Yeah, its really good.",5,2025-07-20 21:02:09
nice,5,2025-07-20 20:59:18
"everyone must try Duolingo to better your English and learning many things like speaking , writing skill.",5,2025-07-20 20:59:15
getting better each day,5,2025-07-20 20:57:13
learnt all finnish words in one second thanks to duolingo lol [the 1 second is a joke guys chill],5,2025-07-20 20:57:00
Amazing helpful app due to this I can speak Spanish more than before but one thing I will like to recommend is that when you click the button that says I can't speak before you know it it shows a wrong answer while you haven't even given any answer which is frustrating as the fact you lose a heart for that so please work on that because I love this app so much,4,2025-07-20 20:56:53
this is very exciting program,5,2025-07-20 20:54:55
this is my best english teacher,5,2025-07-20 20:52:01
"A very nice app, you can learn English very well with this app.",5,2025-07-20 20:51:14
ai slop,1,2025-07-20 20:51:03
addictive way to start learning a language,5,2025-07-20 20:50:49
"after paying for premium for 2 years they deleted my account without any notice. I've tried multiple times to email the company with no response, and am ""not eligible for a refund"" this feels like theft and is absolutely ridiculous.",1,2025-07-20 20:49:56
good,4,2025-07-20 20:48:56
best aapp,5,2025-07-20 20:48:34
"I have a learning daily, thank Thank you for your help.",5,2025-07-20 20:48:04
Dont like leaderboards. Exercises repeat with too much frequency. Edit: units just teach like 1 or 2 things. I often can skip 80% of the unit because it's all repeat repeat repeat. It's like the app thinks you are dumb or something. Translation using the word bank doesn't teach you at all because you can guess the whole sentence. After a 600+ days streak I can tell you that you will learn much better Japanese with Renshuu. Now it also pesters you to update to Max.,1,2025-07-20 20:47:22
it is nice and good like it,5,2025-07-20 20:47:13
very good,4,2025-07-20 20:46:59
it's amazing that learning French is actually enjoyable for once,5,2025-07-20 20:45:57
its blessing app for us and great opportunity for everyone to learn any language whatever you want soo my experience has very good with this app thanks to duolingo inventor special,5,2025-07-20 20:45:01
Good,5,2025-07-20 20:43:51
it's sooooooo good and fun,5,2025-07-20 20:43:38
"used to be a language app, now it's AI slop",1,2025-07-20 20:43:32
it's fantastic ☺️👏,5,2025-07-20 20:42:57
"the app is fun but since there is no way to actually have a conversation with someone for practice, I don't feel like I am really learning anything.",3,2025-07-20 20:42:43
nice,5,2025-07-20 20:39:44
nice 👍,4,2025-07-20 20:37:50
I think that you have to show some problems of real life in picture,3,2025-07-20 20:37:29
for premium,1,2025-07-20 20:37:05
super 💯😊,5,2025-07-20 20:35:41
"Sadly, I have slashed the number of stars to this app. What was once a 5 star app is now a relic of the ""Good old days"". The fact that I am here to bear witness the downfall of Duolingo is heartbreaking. What started as a free educational language learning tool, now it pains me to say that very education is behind paywalls. You dont know where you made mistakes and how to correct them without paying the app. Duolingo isn't teaching, its' just there to make you feel like you learnt something.",2,2025-07-20 20:35:23
"Early days, but Spanish course is easy to follow with a good level of revisiting subjects done, and adding new sections.",4,2025-07-20 20:35:17
i really loved this app I has been started this app from 19 days and I have a streaks of 19 i really enjoyed and I can see improvement in my self,5,2025-07-20 20:34:09
good,3,2025-07-20 20:33:47
It's a very nice place to learn more languages . It's like a game learning app and it's very fun I just loved it,5,2025-07-20 20:33:40
it is use full learning app,5,2025-07-20 20:33:28
güzel,5,2025-07-20 20:32:34
it is intended only for kids 5-7,1,2025-07-20 20:32:30
Brilliant app,5,2025-07-20 20:30:32
Disgusting..... Greedy.... Behavior.... Got Charged even after Canceling the Subscription.....,1,2025-07-20 20:29:45
es la mejor applicacion del Mundo para aprender!!!!!!!!!!!,5,2025-07-20 20:29:42
good for learning,4,2025-07-20 20:29:18
this is very good 😊😊😊 thanks 👍🏿,5,2025-07-20 20:28:48
very interesting ap,5,2025-07-20 20:28:39
this is very good yes,5,2025-07-20 20:28:04
অনেক ভালো,5,2025-07-20 20:27:50
I love duolingo it helps a lot to get to learn more Spanish 5 stars for this app,5,2025-07-20 20:26:38
The best languages learning app👌💫,3,2025-07-20 20:26:27
Excellent ❤️,5,2025-07-20 20:25:37
nice aap,5,2025-07-20 20:25:30
"Its a nice app to practice, i would be happier if the added games to extend concentration . you should try it too!",4,2025-07-20 20:25:20
I SERIOUS i hate it,1,2025-07-20 20:24:57
It provides a really fun way to learn language! and can help children avoid playing some stupid purposeless video games. Even as an adult I enjoy it very much!,5,2025-07-20 20:24:54
apk bagus buat belajar bahasa,5,2025-07-20 20:24:40
nice work 👍,5,2025-07-20 20:24:00
nice,5,2025-07-20 20:23:47
good platform 👍,5,2025-07-20 20:23:14
good boy,4,2025-07-20 20:23:13
it's a great app,5,2025-07-20 20:22:58
wow,5,2025-07-20 20:22:56
he does not kill you if you don't practice. Yeay! get to live a nother day :),5,2025-07-20 20:22:14
very good,5,2025-07-20 20:21:59
Good,5,2025-07-20 20:21:13
Nice English learning 💕💕💕💓💓💓💓💓📚📚📒📚📝,5,2025-07-20 20:18:48
best tool for learning,5,2025-07-20 20:18:21
Good App,5,2025-07-20 20:16:56
best app,5,2025-07-20 20:16:10
good,5,2025-07-20 20:15:58
so much fun so many languages and keeps busy while on road trips and keeps you smart while on summer break.but you need internet.,5,2025-07-20 20:14:59
I am enjoying 😉 and learning,5,2025-07-20 20:13:40
best learning app,5,2025-07-20 20:13:26
it's really amazing to learn different languages from duolingo,4,2025-07-20 20:13:24
best learning app for me 😍♥️,5,2025-07-20 20:12:48
thank you Duolingo,5,2025-07-20 20:12:31
its real great to use and thanks for Duolingo,4,2025-07-20 20:11:57
excellent app,5,2025-07-20 20:11:29
One of the Best Platform For Learning Language.,5,2025-07-20 20:10:39
it is sooooo,5,2025-07-20 20:10:23
"okay but the words you really need to go over are not the Tea, cappuccino, milk, counties etc but the connectors - I'm, from, can I have, with, and etc",3,2025-07-20 20:10:23
perfect app for learning,5,2025-07-20 20:08:04
เยี่ยม ยืดหยุ่นเรื่องเวลา และสร้างแรงจูงใจได้ดี,5,2025-07-20 20:07:51
A fun way to learn a new language!,5,2025-07-20 20:06:51
nice practice,5,2025-07-20 20:06:08
Really helpful,5,2025-07-20 20:04:44
"It's very amazing, comfortable,and cute 🥰",5,2025-07-20 20:03:08
Ai slop,1,2025-07-20 20:02:56
Se aprende mucho desde Los primeros niveles.,5,2025-07-20 20:02:27
usefull app,4,2025-07-20 20:00:40
جامد فشخ,5,2025-07-20 20:00:34
Best Learning App 👍,4,2025-07-20 19:59:53
nice,4,2025-07-20 19:59:22
great languge learning app! the only problem is that... duo gets a bit creepy if u dont do your lesson in time....,4,2025-07-20 19:58:16
Duolingo is very useful app 💯🤗🌷,5,2025-07-20 19:58:10
wow so nice 👍👍👍,5,2025-07-20 19:55:40
amazing app,5,2025-07-20 19:55:26
"""Pronunciation should be provided in English script, or in the language the individual selects.""",4,2025-07-20 19:54:55
not very much nice but it's time pass but you can learn something there,3,2025-07-20 19:54:52
owesome,5,2025-07-20 19:53:15
helpful app for learning any language,5,2025-07-20 19:52:38
world best best speaking English app my favourite speaking English app this is a free subscription in 3 days this speak in very very easy I am a Indian going to America this is very sorry and fully and my full help,5,2025-07-20 19:51:59
it's a good practice app to learn any international language..but need to pararllely practice the writing of words and alphabets to remember permanently..only completing exercises is not enough,5,2025-07-20 19:51:01
"A decent app, but they have an add to subscribe for a monthly fee after every single lesson, regularly having to press exit on two rodent screen to continue. I don't mind a request for subscription, but after every single lesson?",2,2025-07-20 19:49:32
It is so good she learns that so fast duolingo is so so good and I recommend it,5,2025-07-20 19:49:07
best app to learn any language 👌 🙌,5,2025-07-20 19:48:59
love it so much I am trying to learn German and it is giving me the right help and i learned it in 10 minutes it's highly recommended,5,2025-07-20 19:48:06
nice duo,5,2025-07-20 19:48:01
nice,5,2025-07-20 19:47:30
great app for learning,5,2025-07-20 19:46:52
wonderful app 👏👏🤩,5,2025-07-20 19:46:16
"perfect learn language app, especially with beautiful, easy and interactive ui.",5,2025-07-20 19:45:47
help me with school work and communication,4,2025-07-20 19:44:49
Love it!,5,2025-07-20 19:44:46
good practicing,1,2025-07-20 19:44:41
great app,5,2025-07-20 19:42:44
achha he,4,2025-07-20 19:42:29
It's amazing,5,2025-07-20 19:41:09
I love dis app is perfect for learn and study for class,5,2025-07-20 19:41:04
رائع,5,2025-07-20 19:40:34
I subscribed to duolingo super yearly plan worth 1379 rupees but after that I didn't like that so canceled it in 2 or 3 hours at the date of 13 july 2025 they said after the free trail ends they will give my money back but they didn't today is 20 july but no money,1,2025-07-20 19:39:58
Fun,5,2025-07-20 19:39:37
Great!,5,2025-07-20 19:38:56
sondoor ☺️☺️☺️☺️,5,2025-07-20 19:38:47
"ai first company, also barely learned anything when i had to use it for school",1,2025-07-20 19:37:34
Good 👍,4,2025-07-20 19:36:26
very nice 👍,5,2025-07-20 19:36:16
Tasbiha Jaber Tazzy best language app in the world 😀😀🥰,4,2025-07-20 19:35:55
best,5,2025-07-20 19:34:37
very good 👍 👌👌,3,2025-07-20 19:33:26
ｔｏｏ ｗｏｎｄｅｒｆｕｌ,5,2025-07-20 19:32:12
good for those who want to learn english. I learnt english through it just in 2-3 month,5,2025-07-20 19:31:44
good improvements for me,5,2025-07-20 19:30:33
fantastic and beneficial for practice 👍,4,2025-07-20 19:29:28
It help me to improve my English,5,2025-07-20 19:29:21
best language learning point,4,2025-07-20 19:28:22
BRILLIANT. SO encouraging... I love it 💓. all u need to do is buy super. I am on a family plan and it is much better.,5,2025-07-20 19:28:06
best of all,5,2025-07-20 19:27:51
